Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
55,0.070809645,0.907562943,98.59153691,98.59153691,0.956863981,0.983441299,0.991565628,0.98947852
56,0.047252046,0.88793813,98.58397611,98.58397611,0.992125347,0.983775868,0.988873404,0.993952271
57,0.042618704,0.882417251,98.72733978,98.72733978,0.98947852,0.983351495,0.994164073,0.987554915
58,0.055153238,0.896781742,98.03658393,98.03658393,0.993952271,0.978361543,0.983441299,0.986504568
59,0.035679679,0.875290439,98.2455637,98.2455637,0.987554915,0.985543954,0.983775868,0.994575914
60,0.058821078,0.900226211,98.30748879,98.30748879,0.986504568,0.976162662,0.983351495,0.984428173
61,0.055288035,0.895076205,98.36392038,98.36392038,0.994575914,0.978361543,0.983498967,0.992125347
62,0.070809645,0.907562943,98.59153691,98.59153691,0.984428173,0.985543954,0.991565628,0.98947852
63,0.047252046,0.88793813,98.58397611,98.58397611,0.992125347,0.989404527,0.988873404,0.993952271
64,0.042618704,0.882417251,98.72733978,98.72733978,0.98947852,0.983498967,0.994164073,0.987554915
65,0.055153238,0.896781742,98.03658393,98.03658393,0.993952271,0.991565628,0.983441299,0.986504568
66,0.058821078,0.900226211,98.30748879,98.30748879,0.987554915,0.988873404,0.983351495,0.984428173
67,0.055288035,0.895076205,98.36392038,98.36392038,0.986504568,0.994164073,0.983498967,0.992125347
68,0.070809645,0.907562943,98.59153691,98.59153691,0.984428173,0.983441299,0.991565628,0.98947852
69,0.047252046,0.88793813,98.58397611,98.58397611,0.992125347,0.983775868,0.988873404,0.993952271
70,0.042618704,0.882417251,98.72733978,98.72733978,0.961524556,0.983351495,0.994164073,0.987554915
71,0.055288035,0.895076205,98.36392038,98.36392038,0.962169903,0.978361543,0.983498967,0.992125347
72,0.070809645,0.907562943,98.59153691,98.59153691,0.947333695,0.985543954,0.991565628,0.98947852
73,0.047252046,0.88793813,98.58397611,98.58397611,0.954381721,0.989404527,0.988873404,0.993952271
74,0.042618704,0.882417251,98.72733978,98.72733978,0.959729541,0.962169903,0.994164073,0.987554915
75,0.055153238,0.896781742,98.03658393,98.03658393,0.98158768,0.91332597,0.983441299,0.986504568
