Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
83,0.20428326234658087,0.779128308866469,92.51,87.96,0.850,0.860,0.853,0.063
84,0.2064445539677809,0.762204029162338,92.41,89.86,0.878,0.881,0.878,0.066
85,0.20343940622543582,1.038900374434866,92.48,88.38,0.867,0.877,0.869,0.067
86,0.23343421672904882,0.867077676868091,92.13,89.44,0.885,0.882,0.877,0.074
87,0.2496195144770038,0.761790008128810,91.28,89.02,0.864,0.877,0.869,0.065
88,0.21120003383991662,1.066372216066884,92.24,87.75,0.854,0.872,0.857,0.063
89,0.20735581123478024,0.956950683725366,92.39,89.23,0.872,0.877,0.871,0.064
90,0.20398776858669293,1.106665292048759,92.51,88.38,0.872,0.864,0.861,0.069
91,0.20377247409164712,1.224740574425353,92.53,88.59,0.869,0.868,0.862,0.064
92,0.2217307901432993,0.824670852806473,92.25,88.38,0.861,0.860,0.863,0.063
93,0.2321781695566326,0.904387679043972,91.67,88.38,0.863,0.866,0.861,0.063
94,0.23785008696927938,0.898507775774609,91.46,85.63,0.834,0.855,0.841,0.067
95,0.2314154419366206,0.875423487855318,91.69,88.38,0.863,0.867,0.863,0.066
96,0.23976955897679713,0.936320306526275,91.46,88.17,0.855,0.867,0.857,0.065
97,0.23070283413072935,0.875558890023785,91.99,86.32,0.841,0.858,0.845,0.064
98,0.23694118392916546,0.783689960836273,91.54,88.81,0.863,0.868,0.864,0.064
99,0.20523648343502218,0.828881899453700,92.48,90.92,0.889,0.893,0.890,0.070
100,0.21714758809300301,0.796218445234828,92.15,89.23,0.878,0.886,0.879,0.069
