Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
1,2.623742609348112,2.264600928624471,16.37720901889092,24.78813559322034,0.09332969156738598,0.2295029395869732,0.12782830775470375,0.11346713471156221
2,2.0985815791250433,2.0818790713946025,24.04021937842779,22.033898305084747,0.1732550769155757,0.2605732347373685,0.15952492447003788,0.06961502204000677
3,1.9557105985659997,1.87134637037913,27.37659963436929,30.508474576271187,0.2520353932618575,0.3248718076666832,0.23628405054824436,0.06433697370847974
4,1.883443336463669,1.8238742470741272,29.250457038391225,32.6271186440678,0.2931370535612674,0.3074399584134518,0.26320961656251673,0.06466636679170484
5,1.8912442008268486,1.8320452332496644,28.839122486288847,32.41525423728814,0.27370186054427753,0.35736533956249955,0.2775435415401246,0.06402234637858571
6,1.8412455297210841,1.8254419684410095,31.748933577087143,28.60169491525424,0.2732878747904144,0.25156618201613234,0.23518312825392765,0.08306336909394432
7,1.904760267549348,1.9524209340413412,29.41803778184034,26.483050847457626,0.20305303939757724,0.2894533412068048,0.19523504179008197,0.06672930889458956
8,1.9164215633012716,1.8303666194279988,28.915295551492992,34.110169491525426,0.26984108466903167,0.3057967454267032,0.2815691663521477,0.06987091379034056
9,1.9030220606952037,1.842656954129537,28.595368677635587,31.779661016949152,0.24746328201479423,0.2925768334109542,0.22857987292711818,0.09316925226382514
10,1.911513365009456,1.8557795842488607,28.80865326020719,28.60169491525424,0.3080292401599427,0.3202790760707988,0.25831003881350156,0.08389031914681999
11,1.9181891436715728,1.869291889667511,28.32114564290067,25.423728813559322,0.19631464310153968,0.24080892322991135,0.18549857401085995,0.08969959921910421
12,1.9064451236169315,1.8146737178166708,28.549664838513102,31.991525423728813,0.22859272733181807,0.3022726977465468,0.24729034843956074,0.0922225931911975
13,1.9321668182761924,1.9193894624710084,27.45277269957343,31.14406779661017,0.21981345416367695,0.2741891404851135,0.2332998312482438,0.062475424368731214
